parameter,value,unit
time_step,0.01,s
burn_time,5,s
injector_diameter,0.25,in
injector_cd,0.8,-
tank_length,25,cm
tank_inner_diameter,2,in
oxidizer_mass_initial,4,g
tank_temperature_initial,25,degC
chamber_length,6,in
chamber_diameter,2,in
nozzle_throat_diameter,1,in
nozzle_exit_diameter,2,in
ambient_pressure,1,atm
fuel_density,930,kg/m^3
fuel_port_diameter_initial,0.5,in
fuel_grain_length,6,in
fuel_regression_a,0.3,mm/s
fuel_regression_n,0.5,-
