DEBT COLLECTOR,Jhariah,100,0,9DRchKktan8
Black Hot Soup,King Gizzard & The Lizard Wizard,100,0,oV9eVJ8Iw3I
Visitation of the Ghost,The Brobecks,100,0,JaI8tkkQCe0
Psycho Killer,The Wrecks,100,0,-5UzQOSqm8M
Crucified,Ghost B.C.,100,0,G01Hb-WM2Uw
Dear Dictator,Saint Motel,100,0,OcGnrY5JEnw
Foolishly Wrong,Autoheart,100,0,UZmftOjlycA
Long Way Down,The Happy Fits,100,0,XREVbmpFZ2I
What Could Be Better,The Happy Fits,100,0,ZhbCY3j0Qs0
20 Percent Cooler,Ken Ashcorp,100,0,aErHrtr1xgQ
Reverse,Jhariah,100,0,3sR8bBLoYhY
Drink,The Happy Fits,100,0,yQ1iDkcnD3o
Ofelia,Kiltro,100,0,eKFEC5aQK4I
Never Been Better (feat. Orla Gartland),half·alive,100,0,M5KAAcA4PV0
Hot Tea,half·alive,100,0,hdlqO_rA31s
Lancelot,The Dead Pirates,100,0,qSSou9yARwY
Girl's Not Grey,AFI,100,0,kV7VNlKfFag
Rule #9 - Child of the Stars,Fish in a Birdcage,100,0,w-XHu3mYtDY
Holiday,Dirt Poor Robins,100,0,GdT_Og3GIVw
ok ok?,half·alive,100,0,W1HVrAH71JU
Use of Force,Le Castle Vania,100,0,9C0cAIuPHC4
Ofelia,Kiltro,100,0,eKFEC5aQK4I
If I Lead,Kiltro,100,0,qH9SffaC1Bw
Torches,The Oh Hellos,100,0,dC_veQ214XU
Gemini,Evergreen,100,0,lAcF8oBUN4Q
Dear Fellow Traveller,Sea Wolf,100,0,hsJwQjWS48o
The Drunk,Kiltro,100,0,CMsbOknISWk
Up To No Good,The Hoosiers,100,0,vyd61OKK9H0
Lent,Autoheart,100,0,07mq0_lUeb4
Beige,half•alive,100,0,-NIkq001cIg
The Hand That Feeds,Nine Inch Nails,100,0,21oks06J5Wk
bathroom community,glass beach & Pinkshift,100,0,LkcrsUe3z5A
Mr. Loverman,Ricky Montgomery,100,0,NtVQkUdyapw
Wax Cylinder Sonata,Dirt Poor Robins,100,0,JLoO12y2x7Y
The Grim Reaper,King Gizzard & The Lizard Wizard,100,0,dsNawHKvYYU
The Trick to Life,The Hoosiers,100,0,Glt9YGsfSMM
Bliss (XX Anniversary RemiXX),Muse,100,0,j1gBoD3IwDI
Solar Waltz,Cosmo Sheldrake,100,0,0ke0L5DOKQQ
Painkiller,DREAMERS,100,0,HJuHbLJTIy4
Tardigrade Song,Cosmo Sheldrake,100,0,WcGwvnqRKCQ
Bleed Magic,I DONT KNOW HOW BUT THEY FOUND ME,100,0,2nrSSbwtz0k
Let It Out,Modern Space,100,0,6k6xu80Mobo
Liberation,Muse,100,0,nGhB2smp9cI
Heri,The Dead Pirates,100,0,ES2UUcl9G1A
Cuchito,Kiltro,100,0,SYYuHcq0ZOY
Yosemite,half·alive,100,0,ZvqvmLrMpsw
Travelers,Andrew Prahlow,100,0,z34enKCqRGk
Lifting the Gavel,Dirt Poor Robins,100,0,wZJikuJa4Pc
Maximilian Von Spee,Dirt Poor Robins,100,0,p9oKwApVQs0
I Dare You,The Regrettes,100,0,yf7TWUJlCTQ
But Never a Key,Dirt Poor Robins,100,0,VRuokZbwI0c
Come With Us,Bronze Radio Return,100,0,zKuPNlLvgf8
Jim Jones,Dirt Poor Robins,100,0,XlR6bTeUNfw
Sweet Tooth,Scott Helman,100,0,s5sWXSsuBAk
Maybe,half·alive,100,0,owhCsufGXZM
Thnks fr th Mmrs,Fall Out Boy,100,0,j7aQDJLjiD4
The Moss,Cosmo Sheldrake,100,0,eC0zylDUSZk
Loud Is The World,Dirt Poor Robins,100,0,03kH0DxbJUI
Free Man,When Rivers Meet,100,0,YoQwajUOvb0
Phantom Of The Opera,Ghost,100,0,mz1IOQUDcUw
Kings and Queens,Dirt Poor Robins,100,0,SgPQUcKcR2Q
Scream (Scream),Dreamcatcher,100,0,467pNurQeM8
My Friend's a Liquid,Psychedelic Porn Crumpets,100,0,4nseQMhy_QI
Fire Bird,MIYAVI,100,0,QHTOLbjNfLI
Bathed In Sound,Cosmo Sheldrake,100,0,ummCR80jWaE
Seashore,The Regrettes,100,0,Fw5TQ7BLq9k
All Stations - Stop Spider-Man,Daniel Pemberton,100,0,OwmaIJE949o
Nueva York Train Chase,Daniel Pemberton,100,0,EAosY9etkEE
Back Around,half·alive,100,0,DbCvuSGfR3Y
Wriggle,Cosmo Sheldrake,100,0,mKIjK-MAgeg
Axolotl,Cosmo Sheldrake,100,0,JeN90zlgVmw
Pliocene,Cosmo Sheldrake,100,0,oqBN8zU_wK4
Heaven Is A Place On Earth,Belinda Carlisle,100,0,W8axBpHxZYM
Last Goodbye,Dirt Poor Robins,100,0,U4bKcLK8ClA
Fukashigi no TRUMPET,No Coffe No Laifu,100,0,g8QYL5Hc5z4
The Sticks,Mother Mother,100,0,RRIwfoKrfl8
Blitzkrieg Bop,Ramones,100,0,skdE0KAFCEA
The Game,The Regrettes,100,0,c3ka2dmS22k
Acid Girl,Phoneboy,100,0,guO1q6hIzEs
Spider Society,Daniel Pemberton,100,0,7YGD1C7v0Jg
Hanging Around,Ghost,100,0,8tw-KJC8x8A
The Drunk,Kiltro,100,0,CMsbOknISWk
Curicó,Kiltro,100,0,zdRSzLHTCbM
No. 3,Cosmo Sheldrake,100,0,O5mtTyRbos8
Amoeba,The Doozers,100,0,hv6AbMuCbKY
Solar,Cosmo Sheldrake,100,0,t_lNmZqzSKU
Adderall,Max Frost,100,0,Bfdy5a_R4K4
Linger Longer,Cosmo Sheldrake,100,0,TZzL8wXsQiQ
Pelicans We,Cosmo Sheldrake,100,0,D1yb1_VcXGQ
Absolution,Ghost,100,0,LxSosJjiNn8
BREAKFAST,half·alive,100,0,kqzThVq-UkQ
Ready To Let Go,Cage The Elephant,100,0,38DzgoMQGeg
Sweet Disaster,DREAMERS,100,0,2k5W-j9eHcY
Loose,1000mods,100,0,wLV9Vfa9r14
Everybody Knows,Kids Of 88,100,0,9AaFXDEGveQ
Bogus Operandi,The Hives,100,0,xCabzE2PQ70
The Dripping Tap,King Gizzard & The Lizard Wizard,100,0,s1ZkghDSzkE
Talk Too Much,COIN,100,0,4raDa3829ak
The Fly,Cosmo Sheldrake,100,0,8auLbvkBun4
We Forgot We Were Human,Dirt Poor Robins,100,0,mRNDjEOq5v0
Hello Sunshine,The Hoosiers,100,0,ZLoC3taZ22M
Oh Devil,Electric Guest,100,0,-F8fGlIqDso
It's All Happening,Saint Motel,100,0,8xrp2XOLBfM
Electrified,Patiently Awaiting The Meteorite,100,0,O5ro98xqko0
Static,Jukebox the Ghost,100,0,ct_8ozOsLcY
Come Along (Edit),Cosmo Sheldrake,100,0,jcXOsqklv4U
Hold On,The Gospel Whiskey Runners,100,0,f75wR2OjGzM
Everything Moves,Bronze Radio Return,100,0,DTW8arMgz1U
Brighton,half·alive,100,0,rs0oTw0SMx8
Hymn For A Droid,Psychedelic Porn Crumpets,100,0,3u7MlbeGiAk
Take Him Away,Dirt Poor Robins,100,0,VgTBnOXV9p0
Mist of Rage,Noisecream,100,0,K_9DLOKdluM
The Hustle,Kiltro,100,0,eoui_xMkCgQ
Conditions Of A Punk,half·alive,100,0,PpBJ8GUw2ZQ
Halo,Halo,100,0,DOZLSho2o-M
ice cold.,half·alive,100,0,DjwY4Bh-Mfc
Everything is Boring,The Beaches,100,0,z7vWXKU5xSk
High Up,half·alive,100,0,yW7q6RKkC-8
Orion,Mastodon,100,0,thNQOiUr6fY
Oxford Blood,Autoheart,100,0,qM9w84QVWf0
Falling Upwards into Love,Dirt Poor Robins,100,0,a4xCuExslFA
Dark Matter,Faux Fiction,100,0,qk_96f7dQjM
Darkness at the Heart of My Love,Ghost,100,0,3AD-KR-z1x8
Continents,Hembree,100,0,qZOK4q-T884
Emotion Sickness,Queens of the Stone Age,100,0,25QEbHWHKLU
Rats,Ghost B.C.,100,0,wwrsoQeh1Ig
Do Your Worst,The Happy Fits,100,0,WrHAq-Ul-80
Double Barrelled Attitude Adjuster,David Csontos,100,0,atDAvD5gCdQ
Changes,The Happy Fits,100,0,-KZlkROMKMM
2099 Lab,Daniel Pemberton,100,0,fxJTn1Ejf3k
I'll Be Somewhere,The Happy Fits,100,0,GTfBWZwAplY
See No Evil,Ghost,100,0,sOU2ag4dQ0Q
No Instructions,The Happy Fits,100,0,zX79tMuqmQo
Synrise,GOOSE,100,0,7m3bu0OuBcQ
Little One,The Happy Fits,100,0,t6AeilPpDTM
Jesus He Knows Me,Ghost,100,0,V-da7LQ-R5E
Heart of a Dancer,The Happy Fits,100,0,eGlj1Z2JqBs
Moscow,Autoheart,100,0,_bboBiLwz4M
Sundial,Wolfmother,100,0,rcRzMZRZjcM
This Life I Have,The Wrecks,100,0,1hq3nh5n-MA
Reverse - Piano Version,Jhariah,100,0,IYhCqZOPc9A
Hayloft II,Mother Mother,100,0,ade2UVSLBxQ
Monstrance Clock,Ghost,100,0,Oqa-ZLUofnM
Robot Stop,King Gizzard & The Lizard Wizard,100,0,X3Q4a5Eaqcg
Needed a Change of Pace,Jhariah,100,0,4t6z9UnytBw
SPLIT!,Jhariah,100,0,XZPYTTCiyhM
Dead Inside,Muse,100,0,FdfD_My85hY
The Dark Side (Alternate Reality Version),Muse,100,0,fNtGsnjetfo
Everybody Talks,Neon Trees,100,0,JwlHM8TvFE4
Give Me the Night,Des Rocs,100,0,lOcSkENMG3M
Howlin' for You,The Black Keys,100,0,mTuPZUbWQe0
Unnatural Selection,Muse,100,0,T23AY5gYhpE
Reapers,Muse,100,0,mjCYbqJjx38
The Binding of Isaac: Antibirth - Stop Watch OST - The Thief (Cathedral),Ministevo,100,0,m5cHdcnA-pg
Kaisarion,Ghost,100,0,yt40jLz7TeQ
Trouble,Cage The Elephant,100,0,w41e0aBkoZs
Cabinet Man,Lemon Demon,100,0,iZ_P3F3nA1U
